"date","home","away","time","period","etype","team","player","result","points","type","x","y"
"27",20081028,"LAL","POR","08:51",1,"shot","LAL","Andrew Bynum","missed",0,"jump",26,12
"28",20081028,"LAL","POR","08:50",1,"rebound","POR","Travis Outlaw","",0,"def",NA,NA
"29",20081028,"LAL","POR","08:39",1,"shot","POR","Brandon Roy","missed",0,"jump",36,18
"30",20081028,"LAL","POR","08:38",1,"rebound","LAL","Andrew Bynum","",0,"def",NA,NA
"31",20081028,"LAL","POR","08:15",1,"turnover","LAL","Kobe Bryant","",0,"",NA,NA
"32",20081028,"LAL","POR","08:08",1,"shot","POR","Brandon Roy","missed",0,"layup",25,6
"33",20081028,"LAL","POR","08:07",1,"rebound","LAL","Derek Fisher","",0,"def",NA,NA
"34",20081028,"LAL","POR","08:00",1,"shot","LAL","Derek Fisher","made",2,"driving finger roll layup",25,6
"35",20081028,"LAL","POR","07:49",1,"timeout","POR","","",0,"regular",NA,NA
"36",20081028,"LAL","POR","07:31",1,"shot","POR","Greg Oden","missed",0,"jump",30,15
"37",20081028,"LAL","POR","07:30",1,"rebound","POR","LaMarcus Aldridge","",0,"off",NA,NA
"38",20081028,"LAL","POR","07:24",1,"foul","POR","Greg Oden","",0,"offensive",NA,NA
"39",20081028,"LAL","POR","07:24",1,"turnover","POR","Greg Oden","",0,"",NA,NA
"40",20081028,"LAL","POR","07:24",1,"sub","POR","","",0,"",NA,NA
"41",20081028,"LAL","POR","07:07",1,"shot","LAL","Pau Gasol","made",2,"layup",25,6
"42",20081028,"LAL","POR","06:53",1,"turnover","POR","Steve Blake","",0,"",NA,NA
"43",20081028,"LAL","POR","06:40",1,"shot","LAL","Derek Fisher","missed",0,"jump",15,23
"44",20081028,"LAL","POR","06:39",1,"rebound","POR","","",0,"",NA,NA
"45",20081028,"LAL","POR","06:21",1,"shot","POR","Travis Outlaw","missed",0,"jump",17,23
"46",20081028,"LAL","POR","06:20",1,"rebound","LAL","Pau Gasol","",0,"def",NA,NA
"47",20081028,"LAL","POR","06:05",1,"shot","LAL","Kobe Bryant","missed",0,"jump",8,8
"48",20081028,"LAL","POR","06:04",1,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"49",20081028,"LAL","POR","05:53",1,"shot","POR","LaMarcus Aldridge","missed",0,"jump",31,10
"50",20081028,"LAL","POR","05:52",1,"rebound","POR","","",0,"",NA,NA
"51",20081028,"LAL","POR","05:50",1,"sub","LAL","","",0,"",NA,NA
"52",20081028,"LAL","POR","05:50",1,"sub","POR","","",0,"",NA,NA
"53",20081028,"LAL","POR","05:40",1,"turnover","POR","Brandon Roy","",0,"",NA,NA
"54",20081028,"LAL","POR","05:24",1,"shot","LAL","Derek Fisher","missed",0,"driving layup",25,6
"55",20081028,"LAL","POR","05:22",1,"rebound","POR","Brandon Roy","",0,"def",NA,NA
"56",20081028,"LAL","POR","05:13",1,"shot","POR","Steve Blake","missed",0,"3pt",47,6
"57",20081028,"LAL","POR","05:12",1,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"58",20081028,"LAL","POR","05:04",1,"shot","LAL","Kobe Bryant","made",2,"driving layup",25,6
"59",20081028,"LAL","POR","04:46",1,"shot","POR","Brandon Roy","missed",0,"jump",14,15
"60",20081028,"LAL","POR","04:44",1,"rebound","LAL","Lamar Odom","",0,"def",NA,NA
"61",20081028,"LAL","POR","04:40",1,"shot","LAL","Kobe Bryant","missed",0,"layup",25,6
"62",20081028,"LAL","POR","04:38",1,"rebound","POR","LaMarcus Aldridge","",0,"def",NA,NA
"63",20081028,"LAL","POR","04:37",1,"foul","LAL","Kobe Bryant","",0,"personal",NA,NA
"64",20081028,"LAL","POR","04:14",1,"shot","POR","LaMarcus Aldridge","made",2,"turnaround jump",29,17
"65",20081028,"LAL","POR","04:06",1,"shot","LAL","Vladimir Radmanovic","missed",0,"3pt",1,6
"66",20081028,"LAL","POR","04:05",1,"shot","LAL","Andrew Bynum","made",2,"putback layup",25,6
"67",20081028,"LAL","POR","04:05",1,"rebound","LAL","Andrew Bynum","",0,"off",NA,NA
"68",20081028,"LAL","POR","03:48",1,"shot","POR","Rudy Fernandez","missed",0,"3pt",38,28
"69",20081028,"LAL","POR","03:47",1,"rebound","LAL","","",0,"",NA,NA
"70",20081028,"LAL","POR","03:46",1,"sub","POR","","",0,"",NA,NA
"71",20081028,"LAL","POR","03:34",1,"shot","LAL","Lamar Odom","missed",0,"3pt",41,26
"72",20081028,"LAL","POR","03:32",1,"rebound","POR","Brandon Roy","",0,"def",NA,NA
"73",20081028,"LAL","POR","03:24",1,"shot","POR","Steve Blake","missed",0,"3pt",44,24
"74",20081028,"LAL","POR","03:23",1,"rebound","LAL","Vladimir Radmanovic","",0,"def",NA,NA
"75",20081028,"LAL","POR","03:21",1,"turnover","LAL","Vladimir Radmanovic","",0,"",NA,NA
"76",20081028,"LAL","POR","03:09",1,"shot","POR","Brandon Roy","missed",0,"jump",43,17
"77",20081028,"LAL","POR","03:08",1,"rebound","LAL","Lamar Odom","",0,"def",NA,NA
"78",20081028,"LAL","POR","03:03",1,"shot","LAL","Andrew Bynum","missed",0,"slam dunk",25,6
"79",20081028,"LAL","POR","03:00",1,"rebound","LAL","Derek Fisher","",0,"off",NA,NA
"80",20081028,"LAL","POR","02:52",1,"turnover","LAL","Lamar Odom","",0,"",NA,NA
"81",20081028,"LAL","POR","02:52",1,"timeout","LAL","","",0,"regular",NA,NA
"82",20081028,"LAL","POR","02:52",1,"sub","LAL","","",0,"",NA,NA
"83",20081028,"LAL","POR","02:52",1,"sub","LAL","","",0,"",NA,NA
"84",20081028,"LAL","POR","02:52",1,"sub","LAL","","",0,"",NA,NA
"85",20081028,"LAL","POR","02:32",1,"shot","POR","Brandon Roy","missed",0,"layup",25,6
"86",20081028,"LAL","POR","02:32",1,"shot","POR","Joel Przybilla","made",2,"tip",25,6
"87",20081028,"LAL","POR","02:32",1,"rebound","POR","Joel Przybilla","",0,"off",NA,NA
"88",20081028,"LAL","POR","02:32",1,"foul","LAL","Pau Gasol","",0,"shooting",NA,NA
"89",20081028,"LAL","POR","02:32",1,"free throw","POR","Joel Przybilla","missed",0,"",NA,NA
"90",20081028,"LAL","POR","02:31",1,"rebound","LAL","Trevor Ariza","",0,"def",NA,NA
"91",20081028,"LAL","POR","02:11",1,"shot","LAL","Trevor Ariza","made",2,"dunk",25,6
"92",20081028,"LAL","POR","01:49",1,"shot","POR","Rudy Fernandez","made",2,"layup",25,6
"93",20081028,"LAL","POR","01:31",1,"shot","LAL","Trevor Ariza","made",3,"3pt",46,17
"94",20081028,"LAL","POR","01:18",1,"shot","POR","Rudy Fernandez","made",2,"jump",31,22
"95",20081028,"LAL","POR","01:12",1,"turnover","LAL","Jordan Farmar","",0,"",NA,NA
"96",20081028,"LAL","POR","01:12",1,"sub","POR","","",0,"",NA,NA
"97",20081028,"LAL","POR","01:12",1,"sub","POR","","",0,"",NA,NA
"98",20081028,"LAL","POR","00:59",1,"shot","POR","Rudy Fernandez","missed",0,"jump",38,13
"99",20081028,"LAL","POR","00:58",1,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"100",20081028,"LAL","POR","00:48",1,"shot","LAL","Lamar Odom","missed",0,"jump",14,23
"101",20081028,"LAL","POR","00:47",1,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"102",20081028,"LAL","POR","00:35",1,"shot","POR","Channing Frye","missed",0,"3pt",26,32
"103",20081028,"LAL","POR","00:33",1,"rebound","LAL","Jordan Farmar","",0,"def",NA,NA
"104",20081028,"LAL","POR","00:29",1,"foul","POR","Sergio Rodriguez","",0,"shooting",NA,NA
"105",20081028,"LAL","POR","00:29",1,"sub","LAL","","",0,"",NA,NA
"106",20081028,"LAL","POR","00:29",1,"free throw","LAL","Jordan Farmar","made",1,"",NA,NA
"107",20081028,"LAL","POR","00:29",1,"free throw","LAL","Jordan Farmar","made",1,"",NA,NA
"108",20081028,"LAL","POR","00:12",1,"shot","POR","Joel Przybilla","made",2,"slam dunk",25,6
"109",20081028,"LAL","POR","00:00",1,"shot","LAL","Sasha Vujacic","missed",0,"3pt",37,30
"110",20081028,"LAL","POR","00:00",1,"rebound","LAL","","",0,"",NA,NA
"111",20081028,"LAL","POR","11:37",2,"shot","POR","Joel Przybilla","missed",0,"layup",25,6
"112",20081028,"LAL","POR","11:36",2,"rebound","POR","Channing Frye","",0,"off",NA,NA
"113",20081028,"LAL","POR","11:35",2,"shot","POR","Channing Frye","missed",0,"layup",25,6
"114",20081028,"LAL","POR","11:35",2,"rebound","POR","","",0,"",NA,NA
"115",20081028,"LAL","POR","11:23",2,"shot","POR","Sergio Rodriguez","missed",0,"3pt",43,25
"116",20081028,"LAL","POR","11:22",2,"rebound","LAL","Lamar Odom","",0,"def",NA,NA
"117",20081028,"LAL","POR","11:15",2,"shot","LAL","Lamar Odom","made",2,"layup",25,6
"118",20081028,"LAL","POR","11:15",2,"violation","POR","Joel Przybilla","",0,"defensive goaltending",NA,NA
"119",20081028,"LAL","POR","11:15",2,"foul","POR","Channing Frye","",0,"shooting",NA,NA
"120",20081028,"LAL","POR","11:15",2,"free throw","LAL","Lamar Odom","missed",0,"",NA,NA
"121",20081028,"LAL","POR","11:12",2,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"122",20081028,"LAL","POR","10:51",2,"shot","POR","Channing Frye","missed",0,"3pt",17,32
"123",20081028,"LAL","POR","10:51",2,"rebound","LAL","","",0,"",NA,NA
"124",20081028,"LAL","POR","10:39",2,"shot","LAL","Lamar Odom","made",2,"hook bank",30,11
"125",20081028,"LAL","POR","10:19",2,"turnover","POR","Sergio Rodriguez","",0,"",NA,NA
"126",20081028,"LAL","POR","10:14",2,"shot","LAL","Pau Gasol","made",2,"layup",25,6
"127",20081028,"LAL","POR","10:06",2,"timeout","POR","","",0,"regular",NA,NA
"128",20081028,"LAL","POR","10:06",2,"sub","POR","","",0,"",NA,NA
"129",20081028,"LAL","POR","10:06",2,"sub","POR","","",0,"",NA,NA
"130",20081028,"LAL","POR","09:45",2,"shot","POR","Rudy Fernandez","made",3,"3pt",9,26
"131",20081028,"LAL","POR","09:28",2,"shot","LAL","Sasha Vujacic","missed",0,"jump",6,8
"132",20081028,"LAL","POR","09:27",2,"rebound","POR","Sergio Rodriguez","",0,"def",NA,NA
"133",20081028,"LAL","POR","09:10",2,"turnover","POR","LaMarcus Aldridge","",0,"",NA,NA
"134",20081028,"LAL","POR","09:03",2,"shot","LAL","Jordan Farmar","missed",0,"running layup",25,6
"135",20081028,"LAL","POR","09:02",2,"rebound","LAL","","",0,"",NA,NA
"136",20081028,"LAL","POR","08:59",2,"shot","LAL","Sasha Vujacic","missed",0,"jump",6,5
"137",20081028,"LAL","POR","08:58",2,"rebound","POR","Rudy Fernandez","",0,"def",NA,NA
"138",20081028,"LAL","POR","08:41",2,"shot","POR","LaMarcus Aldridge","missed",0,"dunk",25,6
"139",20081028,"LAL","POR","08:39",2,"rebound","LAL","Lamar Odom","",0,"def",NA,NA
"140",20081028,"LAL","POR","08:33",2,"shot","LAL","Sasha Vujacic","made",3,"3pt",NA,NA
"141",20081028,"LAL","POR","08:07",2,"turnover","POR","","",0,"",NA,NA
"142",20081028,"LAL","POR","08:07",2,"sub","POR","","",0,"",NA,NA
"143",20081028,"LAL","POR","08:07",2,"sub","LAL","","",0,"",NA,NA
"144",20081028,"LAL","POR","07:55",2,"shot","LAL","Pau Gasol","missed",0,"jump",22,12
"145",20081028,"LAL","POR","07:53",2,"rebound","POR","Greg Oden","",0,"def",NA,NA
"146",20081028,"LAL","POR","07:37",2,"shot","POR","LaMarcus Aldridge","missed",0,"jump",27,16
"147",20081028,"LAL","POR","07:36",2,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"148",20081028,"LAL","POR","07:23",2,"shot","LAL","Trevor Ariza","missed",0,"jump",10,6
"149",20081028,"LAL","POR","07:21",2,"rebound","POR","Greg Oden","",0,"def",NA,NA
"150",20081028,"LAL","POR","07:08",2,"shot","POR","Travis Outlaw","made",3,"3pt",48,6
"151",20081028,"LAL","POR","06:50",2,"turnover","LAL","Kobe Bryant","",0,"",NA,NA
"152",20081028,"LAL","POR","06:44",2,"shot","POR","Travis Outlaw","made",2,"layup",25,6
"153",20081028,"LAL","POR","06:32",2,"shot","LAL","Trevor Ariza","made",3,"3pt",43,24
"154",20081028,"LAL","POR","06:16",2,"foul","LAL","Jordan Farmar","",0,"shooting",NA,NA
"155",20081028,"LAL","POR","06:16",2,"free throw","POR","Rudy Fernandez","made",1,"",NA,NA
"156",20081028,"LAL","POR","06:16",2,"sub","LAL","","",0,"",NA,NA
"157",20081028,"LAL","POR","06:16",2,"free throw","POR","Rudy Fernandez","made",1,"",NA,NA
"158",20081028,"LAL","POR","06:01",2,"shot","LAL","Lamar Odom","missed",0,"layup",25,6
"159",20081028,"LAL","POR","05:58",2,"rebound","POR","Travis Outlaw","",0,"def",NA,NA
"160",20081028,"LAL","POR","05:42",2,"shot","POR","LaMarcus Aldridge","missed",0,"jump",15,16
"161",20081028,"LAL","POR","05:41",2,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"162",20081028,"LAL","POR","05:36",2,"shot","LAL","Pau Gasol","made",2,"layup",25,6
"163",20081028,"LAL","POR","05:10",2,"foul","LAL","Lamar Odom","",0,"personal",NA,NA
"164",20081028,"LAL","POR","05:10",2,"timeout","OFF","","",0,"official",NA,NA
"165",20081028,"LAL","POR","05:10",2,"sub","LAL","","",0,"",NA,NA
"166",20081028,"LAL","POR","05:10",2,"sub","LAL","","",0,"",NA,NA
"167",20081028,"LAL","POR","05:10",2,"sub","POR","","",0,"",NA,NA
"168",20081028,"LAL","POR","04:56",2,"foul","LAL","Kobe Bryant","",0,"shooting",NA,NA
"169",20081028,"LAL","POR","04:56",2,"free throw","POR","Greg Oden","missed",0,"",NA,NA
"170",20081028,"LAL","POR","04:56",2,"rebound","POR","","",0,"",NA,NA
"171",20081028,"LAL","POR","04:56",2,"free throw","POR","Greg Oden","missed",0,"",NA,NA
"172",20081028,"LAL","POR","04:55",2,"rebound","LAL","Vladimir Radmanovic","",0,"def",NA,NA
"173",20081028,"LAL","POR","04:34",2,"shot","LAL","Kobe Bryant","missed",0,"jump",43,6
"174",20081028,"LAL","POR","04:33",2,"rebound","LAL","Kobe Bryant","",0,"off",NA,NA
"175",20081028,"LAL","POR","04:30",2,"shot","LAL","Kobe Bryant","made",2,"pullup jump",16,22
"176",20081028,"LAL","POR","04:17",2,"foul","LAL","Pau Gasol","",0,"personal",NA,NA
"177",20081028,"LAL","POR","04:11",2,"shot","POR","Travis Outlaw","missed",0,"jump",31,11
"178",20081028,"LAL","POR","04:09",2,"rebound","POR","Travis Outlaw","",0,"off",NA,NA
"179",20081028,"LAL","POR","04:08",2,"turnover","POR","Travis Outlaw","",0,"",NA,NA
"180",20081028,"LAL","POR","04:03",2,"shot","LAL","Vladimir Radmanovic","made",2,"driving slam dunk",25,6
"181",20081028,"LAL","POR","03:44",2,"shot","POR","Greg Oden","missed",0,"hook",28,9
"182",20081028,"LAL","POR","03:40",2,"rebound","POR","Greg Oden","",0,"off",NA,NA
"183",20081028,"LAL","POR","03:37",2,"turnover","POR","Greg Oden","",0,"",NA,NA
"184",20081028,"LAL","POR","03:31",2,"shot","LAL","Pau Gasol","made",2,"layup",25,6
"185",20081028,"LAL","POR","03:31",2,"violation","POR","Travis Outlaw","",0,"defensive goaltending",NA,NA
"186",20081028,"LAL","POR","03:16",2,"shot","POR","Steve Blake","missed",0,"3pt",48,11
"187",20081028,"LAL","POR","03:15",2,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"188",20081028,"LAL","POR","03:06",2,"shot","LAL","Kobe Bryant","made",2,"pullup jump",18,15
"189",20081028,"LAL","POR","02:42",2,"shot","POR","Travis Outlaw","missed",0,"jump",16,20
"190",20081028,"LAL","POR","02:41",2,"rebound","LAL","Vladimir Radmanovic","",0,"def",NA,NA
"191",20081028,"LAL","POR","02:35",2,"turnover","LAL","Derek Fisher","",0,"",NA,NA
"192",20081028,"LAL","POR","02:20",2,"shot","POR","Steve Blake","made",3,"3pt",49,12
"193",20081028,"LAL","POR","01:58",2,"shot","LAL","Vladimir Radmanovic","made",3,"3pt",8,28
"194",20081028,"LAL","POR","01:51",2,"timeout","POR","","",0,"short",NA,NA
"195",20081028,"LAL","POR","01:51",2,"timeout","LAL","","",0,"regular",NA,NA
"196",20081028,"LAL","POR","01:51",2,"sub","POR","","",0,"",NA,NA
"197",20081028,"LAL","POR","01:37",2,"turnover","POR","Brandon Roy","",0,"",NA,NA
"198",20081028,"LAL","POR","01:32",2,"turnover","LAL","Kobe Bryant","",0,"",NA,NA
"199",20081028,"LAL","POR","01:17",2,"foul","LAL","Andrew Bynum","",0,"shooting",NA,NA
"200",20081028,"LAL","POR","01:17",2,"free throw","POR","Brandon Roy","made",1,"",NA,NA
"201",20081028,"LAL","POR","01:17",2,"free throw","POR","Brandon Roy","made",1,"",NA,NA
"202",20081028,"LAL","POR","01:00",2,"shot","LAL","Kobe Bryant","missed",0,"jump",9,10
"203",20081028,"LAL","POR","00:59",2,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"204",20081028,"LAL","POR","00:46",2,"shot","POR","LaMarcus Aldridge","missed",0,"3pt",0,11
"205",20081028,"LAL","POR","00:44",2,"rebound","POR","Travis Outlaw","",0,"off",NA,NA
"206",20081028,"LAL","POR","00:43",2,"shot","POR","Travis Outlaw","made",2,"layup",25,6
"207",20081028,"LAL","POR","00:33",2,"shot","LAL","Kobe Bryant","missed",0,"jump",17,14
"208",20081028,"LAL","POR","00:31",2,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"209",20081028,"LAL","POR","00:11",2,"shot","POR","Steve Blake","made",3,"3pt",1,7
"210",20081028,"LAL","POR","00:03",2,"turnover","LAL","Kobe Bryant","",0,"",NA,NA
"211",20081028,"LAL","POR","11:39",3,"shot","POR","Steve Blake","missed",0,"layup",25,6
"212",20081028,"LAL","POR","11:37",3,"rebound","POR","Steve Blake","",0,"off",NA,NA
"213",20081028,"LAL","POR","11:35",3,"shot","POR","Travis Outlaw","made",3,"3pt",1,6
"214",20081028,"LAL","POR","11:20",3,"shot","LAL","Andrew Bynum","missed",0,"jump",14,19
"215",20081028,"LAL","POR","11:19",3,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"216",20081028,"LAL","POR","10:59",3,"shot","POR","Travis Outlaw","made",2,"jump",42,10
"217",20081028,"LAL","POR","10:39",3,"shot","LAL","Derek Fisher","missed",0,"jump",34,9
"218",20081028,"LAL","POR","10:37",3,"rebound","LAL","Derek Fisher","",0,"off",NA,NA
"219",20081028,"LAL","POR","10:36",3,"shot","LAL","Derek Fisher","missed",0,"layup",25,6
"220",20081028,"LAL","POR","10:36",3,"rebound","POR","Steve Blake","",0,"def",NA,NA
"221",20081028,"LAL","POR","10:28",3,"shot","POR","Brandon Roy","missed",0,"3pt",48,10
"222",20081028,"LAL","POR","10:27",3,"rebound","LAL","Derek Fisher","",0,"def",NA,NA
"223",20081028,"LAL","POR","10:22",3,"shot","LAL","Derek Fisher","missed",0,"driving layup",25,6
"224",20081028,"LAL","POR","10:20",3,"rebound","POR","Joel Przybilla","",0,"def",NA,NA
"225",20081028,"LAL","POR","10:04",3,"shot","POR","LaMarcus Aldridge","made",2,"jump",20,10
"226",20081028,"LAL","POR","09:37",3,"shot","LAL","Kobe Bryant","missed",0,"jump",9,17
"227",20081028,"LAL","POR","09:36",3,"rebound","POR","Steve Blake","",0,"def",NA,NA
"228",20081028,"LAL","POR","09:27",3,"shot","POR","Travis Outlaw","missed",0,"3pt",1,8
"229",20081028,"LAL","POR","09:26",3,"rebound","LAL","","",0,"",NA,NA
"230",20081028,"LAL","POR","09:06",3,"foul","POR","Joel Przybilla","",0,"personal",NA,NA
"231",20081028,"LAL","POR","09:00",3,"shot","LAL","Kobe Bryant","made",3,"3pt",16,29
"232",20081028,"LAL","POR","08:41",3,"shot","POR","Steve Blake","missed",0,"jump",32,24
"233",20081028,"LAL","POR","08:39",3,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"234",20081028,"LAL","POR","08:33",3,"shot","LAL","Kobe Bryant","made",2,"driving reverse layup",25,6
"235",20081028,"LAL","POR","08:33",3,"foul","POR","Joel Przybilla","",0,"shooting",NA,NA
"236",20081028,"LAL","POR","08:33",3,"free throw","LAL","Kobe Bryant","missed",0,"",NA,NA
"237",20081028,"LAL","POR","08:32",3,"rebound","POR","LaMarcus Aldridge","",0,"def",NA,NA
"238",20081028,"LAL","POR","08:07",3,"shot","POR","Brandon Roy","missed",0,"3pt",7,28
"239",20081028,"LAL","POR","08:05",3,"rebound","LAL","Pau Gasol","",0,"def",NA,NA
"240",20081028,"LAL","POR","07:59",3,"shot","LAL","Andrew Bynum","missed",0,"jump",25,18
"241",20081028,"LAL","POR","07:58",3,"rebound","POR","","",0,"",NA,NA
"242",20081028,"LAL","POR","07:46",3,"turnover","POR","Travis Outlaw","",0,"",NA,NA
"243",20081028,"LAL","POR","07:38",3,"shot","LAL","Kobe Bryant","missed",0,"jump",29,28
"244",20081028,"LAL","POR","07:37",3,"rebound","POR","Steve Blake","",0,"def",NA,NA
"245",20081028,"LAL","POR","07:24",3,"shot","POR","LaMarcus Aldridge","missed",0,"jump",39,13
"246",20081028,"LAL","POR","07:23",3,"rebound","LAL","Andrew Bynum","",0,"def",NA,NA
"247",20081028,"LAL","POR","07:07",3,"foul","POR","LaMarcus Aldridge","",0,"shooting",NA,NA
"248",20081028,"LAL","POR","07:07",3,"free throw","LAL","Kobe Bryant","made",1,"",NA,NA
"249",20081028,"LAL","POR","07:07",3,"sub","LAL","","",0,"",NA,NA
"250",20081028,"LAL","POR","07:07",3,"free throw","LAL","Kobe Bryant","made",1,"",NA,NA
"251",20081028,"LAL","POR","06:47",3,"shot","POR","LaMarcus Aldridge","missed",0,"turnaround jump",21,18
"252",20081028,"LAL","POR","06:44",3,"rebound","LAL","Lamar Odom","",0,"def",NA,NA
"253",20081028,"LAL","POR","06:40",3,"foul","POR","LaMarcus Aldridge","",0,"shooting",NA,NA
"254",20081028,"LAL","POR","06:40",3,"free throw","LAL","Kobe Bryant","made",1,"",NA,NA
"255",20081028,"LAL","POR","06:40",3,"timeout","POR","","",0,"regular",NA,NA
"256",20081028,"LAL","POR","06:40",3,"free throw","LAL","Kobe Bryant","made",1,"",NA,NA
"257",20081028,"LAL","POR","06:19",3,"shot","POR","Joel Przybilla","missed",0,"jump",21,8
"258",20081028,"LAL","POR","06:17",3,"rebound","LAL","Kobe Bryant","",0,"def",NA,NA
"259",20081028,"LAL","POR","06:09",3,"turnover","LAL","Pau Gasol","",0,"",NA,NA
"260",20081028,"LAL","POR","05:49",3,"shot","POR","Travis Outlaw","made",2,"jump",13,22
"261",20081028,"LAL","POR","05:21",3,"shot","LAL","Kobe Bryant","made",2,"jump",44,6
"262",20081028,"LAL","POR","05:00",3,"shot","POR","Brandon Roy","missed",0,"layup",25,6
"263",20081028,"LAL","POR","04:59",3,"rebound","LAL","Pau Gasol","",0,"def",NA,NA
"264",20081028,"LAL","POR","04:47",3,"shot","LAL","Vladimir Radmanovic","made",3,"3pt",1,5
"265",20081028,"LAL","POR","04:29",3,"shot","POR","Steve Blake","made",3,"3pt",14,29
"266",20081028,"LAL","POR","04:23",3,"foul","POR","Joel Przybilla","",0,"shooting",NA,NA
"267",20081028,"LAL","POR","04:23",3,"sub","POR","","",0,"",NA,NA
"268",20081028,"LAL","POR","04:23",3,"sub","POR","","",0,"",NA,NA
"269",20081028,"LAL","POR","04:23",3,"free throw","LAL","Derek Fisher","made",1,"",NA,NA
"270",20081028,"LAL","POR","04:23",3,"free throw","LAL","Derek Fisher","made",1,"",NA,NA
"271",20081028,"LAL","POR","04:05",3,"violation","LAL","Vladimir Radmanovic","",0,"kicked ball",NA,NA
"272",20081028,"LAL","POR","03:52",3,"shot","POR","Travis Outlaw","missed",0,"jump",33,15
"273",20081028,"LAL","POR","03:51",3,"rebound","LAL","Pau Gasol","",0,"def",NA,NA
"274",20081028,"LAL","POR","03:35",3,"shot","LAL","Kobe Bryant","made",2,"driving finger roll layup",25,6
"275",20081028,"LAL","POR","03:25",3,"foul","LAL","Kobe Bryant","",0,"personal",NA,NA
"276",20081028,"LAL","POR","03:18",3,"shot","POR","Channing Frye","missed",0,"jump",11,22
"277",20081028,"LAL","POR","03:17",3,"rebound","LAL","Derek Fisher","",0,"def",NA,NA
"278",20081028,"LAL","POR","03:00",3,"turnover","LAL","Pau Gasol","",0,"",NA,NA
"279",20081028,"LAL","POR","02:36",3,"turnover","POR","","",0,"",NA,NA
"280",20081028,"LAL","POR","02:36",3,"timeout","LAL","","",0,"regular",NA,NA
"281",20081028,"LAL","POR","02:36",3,"sub","POR","","",0,"",NA,NA
"282",20081028,"LAL","POR","02:36",3,"sub","LAL","","",0,"",NA,NA
"283",20081028,"LAL","POR","02:36",3,"sub","LAL","","",0,"",NA,NA
